时间,旅游综合收入（亿元）,旅游综合收入增长（%）,接待旅游人次（万人次）,接待旅游人次增长（%）
2008年,5.35,-,116.9,-
2009年,7.04,-,150.7,-
2010年,5.04,-,103.7,-
2011年,4.89,-,104.9,-
2012年,6.34,-,126.8,-
2013年,7.39,-,132.3,-
2014年,7.14,-,119.2,-
2015年,8.63,-,143.8,-
2016年,14.02,-,176.4,-
2017年,19.25,41.5,285.05,33.6
2018年,26.26,37.7,380.6,33.5
2019年,34.2,30.2,500.1,31.3
2021年1-5月,50.2,156.6,508.63,98.8
2022年1-5月,15.94,-68.25,167.73,-67.02
2022年1-6月,19.74,-61.2,207.74,-59.7
2022年1-7月,30.89,-40.0,303.8,-41.8


2017年一季度,4.65,39.8,67.11,30.99
2017年上半年,12.9,37.2,180.98,36.3
2017年1-9月,16.28,37.8,234.5,30.6
2017年1-10月,18.35,37.8,269.2,31.8
2018年1-3月,8.45,34.6,134.05,30.8
2018年1-4月,14.32,35.3,227.31,33.8
2018年1-5月,14.97,34.3,237.6,32.1
2018年1-6月,16.53,34.8,262.5,32.2
2018年1-7月,17.75,35.5,281.8,32.8
2018年1-8月,19.98,35.5,317.25,32.8
2018年1-9月,21.33,35.3,338.6,32.7
2018年1-10月,22.77,35.3,361.5,32.6
2018年1-11月,0.9,109.3,13.12,107.2
2018年1-12月,26.26,-,380.6,37.7
2019年1-2月,5.19,36.8,79.9,35.6
2019年1-3月,8.87,38.3,136.5,37.6
2019年1-4月,20.27,38.3,304.6,37.5
2019年1-6月,23.45,37.9,360.8,37.3
2019年1-7月,26.21,38,386.8,37.4
2019年1-8月,28.25,37.5,416.8,36.8
2019年1-9月,30.09,36.1,442.5,35.6

